ABS,Abstract,6.5.12
PV1,Patient Visit,3.4.3
PV2,Patient Visit - Additional Information,3.4.4
QAK,Query Acknowledgment,5.5.2
QID,Query Identification,5.5.3
QPD,Query Parameter Definition,5.5.4
QRD,Original-Style Query Definition,5.10.5.4
QRF,Original style query filter,5.10.5.5
QRI,Query Response Instance,5.5.5
RCP,Response Control Parameter,5.5.6
RDF,Table Row Definition,5.5.7
RDT,Table Row Data,5.5.8
RF1,Referral Information,11.6.1
RGS,Resource Group,10.6.3
RMI,Risk Management Incident,6.5.14
ROL,Role,15.4.7
RQ1,Requisition Detail-1,4.11.2
RQD,Requisition Detail,4.11.1
RXA,Pharmacy/Treatment Administration,4.18.1
RXC,Pharmacy/Treatment Component Order,4.14.3
RXD,Pharmacy/Treatment Dispense,4.14.5
RXE,Pharmacy/Treatment Encoded Order,4.14.4
RXG,Pharmacy/Treatment Give,4.14.6
RXO,Pharmacy/Treatment Order,4.14.1
RXR,Pharmacy/Treatment Route,4.14.2
SAC,Specimen Container detail,13.4.3
SCH,Scheduling Activity Information,10.6.2
SFT,Software Segment,2.15.12
SID,Substance Identifier,13.4.11
SPM,Specimen,7.4.3
SPR,Stored Procedure Request Definition,5.10.5.6
STF,Staff Identification,15.4.8
TCC,Test Code Configuration,13.4.9
TCD,Test Code Detail,13.4.10
TQ1,Timing/Quantity,4.5.4
TQ2,Timing/Quantity Relationship,4.5.5
TXA,Transcription Document Header,9.6.1
UB1,UB82,6.5.10
UB2,UB92 Data,6.5.11
URD,Results/update Definition,5.10.5.7
URS,Unsolicited Selection,5.10.5.8
VAR,Variance,12.4.5
VTQ,Virtual Table Query Request,5.10.5.9
ZL7,(proposed example only),8.6.1

